Epoch 1/200, Loss: 0.4396284137453352, Acc: 0.06310547994715827, MSE: 0.9993797796113151, MAE: 0.8310889516557965
Epoch 2/200, Loss: 0.4077163679259164, Acc: 0.06783635807888848, MSE: 0.9206631439072746, MAE: 0.7910440649305072
Epoch 3/200, Loss: 0.3701855476413454, Acc: 0.0809987692960671, MSE: 0.8330152545656476, MAE: 0.7388548680714199
Epoch 4/200, Loss: 0.34520172647067476, Acc: 0.09105696954897471, MSE: 0.775530857699258, MAE: 0.7030639350414276
Epoch 5/200, Loss: 0.32941616220133646, Acc: 0.09831519957099642, MSE: 0.736765308039529, MAE: 0.6810193359851837
Epoch 6/200, Loss: 0.3144483928169523, Acc: 0.09957887338740486, MSE: 0.6998102750097003, MAE: 0.6622975638934544
Epoch 7/200, Loss: 0.30061515101364683, Acc: 0.10467123240232468, MSE: 0.6675581591469901, MAE: 0.6429764415536608
Epoch 8/200, Loss: 0.28820449326719555, Acc: 0.11077121964522771, MSE: 0.637846576316016, MAE: 0.6254870550973075
Epoch 9/200, Loss: 0.27907850061144146, Acc: 0.11160864893879209, MSE: 0.6146565249988011, MAE: 0.612914617572512
Epoch 10/200, Loss: 0.270450975213732, Acc: 0.11234968581369945, MSE: 0.5911902827875954, MAE: 0.602320841380528
Epoch 11/200, Loss: 0.2621566674539021, Acc: 0.11549456523997444, MSE: 0.5699071756431034, MAE: 0.5908323228359222
Epoch 12/200, Loss: 0.25465508869716097, Acc: 0.12022092512675694, MSE: 0.5503727580819812, MAE: 0.5815221965312958
Epoch 13/200, Loss: 0.24917669594287872, Acc: 0.12097400852612086, MSE: 0.5362506593976702, MAE: 0.5743925997189113
Epoch 14/200, Loss: 0.24542301893234253, Acc: 0.11511199814932686, MSE: 0.5273923788751874, MAE: 0.571252601487296
Epoch 15/200, Loss: 0.23275400059563772, Acc: 0.13361227299485887, MSE: 0.4980817437171936, MAE: 0.5491514120783124
Epoch 16/200, Loss: 0.2250422579901559, Acc: 0.12003416035856519, MSE: 0.4785736245768411, MAE: 0.5436702370643616
Epoch 17/200, Loss: 0.20638903549739293, Acc: 0.13773917938981736, MSE: 0.4352169462612697, MAE: 0.5139835391725812
Epoch 18/200, Loss: 0.19308128101485117, Acc: 0.13024297888789857, MSE: 0.40497255325317383, MAE: 0.49912826078278677
Epoch 19/200, Loss: 0.19935106592518942, Acc: 0.13255494300808227, MSE: 0.4203175646918161, MAE: 0.5055079162120819
Epoch 20/200, Loss: 0.17642018411840713, Acc: 0.1372270839554923, MSE: 0.3676662743091583, MAE: 0.4747076119695391
Epoch 21/200, Loss: 0.16113940945693425, Acc: 0.15133988857269287, MSE: 0.3337079222713198, MAE: 0.4498708886759622
Epoch 22/200, Loss: 0.1621766665152141, Acc: 0.15762061519282206, MSE: 0.3394121804407665, MAE: 0.447220184973308
Epoch 23/200, Loss: 0.13706554366009577, Acc: 0.16899068440709794, MSE: 0.28140395666871754, MAE: 0.4116454039301191
Epoch 24/200, Loss: 0.12036779735769544, Acc: 0.1779704647404807, MSE: 0.2462024220398494, MAE: 0.38273809211594717
Epoch 25/200, Loss: 0.11449798835175377, Acc: 0.18952881012644088, MSE: 0.23526253019060409, MAE: 0.3694100167070116
Epoch 26/200, Loss: 0.14563950151205063, Acc: 0.16290576117379324, MSE: 0.3011405978884016, MAE: 0.4223445100443704
Epoch 27/200, Loss: 0.13634374737739563, Acc: 0.15607076564005443, MSE: 0.279973919902529, MAE: 0.4150974154472351
Epoch 28/200, Loss: 0.10951851521219526, Acc: 0.18454489963395254, MSE: 0.2235939779451915, MAE: 0.36641429577554974
Epoch 29/200, Loss: 0.09166257455945015, Acc: 0.2136877668755395, MSE: 0.18652941393000738, MAE: 0.3285702168941498
Epoch 30/200, Loss: 0.08101777945246015, Acc: 0.22148369678429194, MSE: 0.16435405505555017, MAE: 0.30959155942712513
Epoch 31/200, Loss: 0.08097568367208753, Acc: 0.24641682420458114, MSE: 0.16529778391122818, MAE: 0.299016929098538
Epoch 32/200, Loss: 0.0670960641333035, Acc: 0.2506732557501112, MSE: 0.13607470584767206, MAE: 0.27775497095925467
Epoch 33/200, Loss: 0.05770378879138401, Acc: 0.2926321199962071, MSE: 0.11663282715848514, MAE: 0.250552128468241
Epoch 34/200, Loss: 0.049474206886121204, Acc: 0.32400261078562054, MSE: 0.10043579499636378, MAE: 0.22690444546086447
Epoch 35/200, Loss: 0.043666911710585864, Acc: 0.3318105936050415, MSE: 0.08813437127641269, MAE: 0.21564587950706482
Epoch 36/200, Loss: 0.03828633975769792, Acc: 0.3597726311002459, MSE: 0.0772426708468369, MAE: 0.2005646824836731
Epoch 37/200, Loss: 0.0339456924370357, Acc: 0.3569335000855582, MSE: 0.06826201347368104, MAE: 0.1911275557109288
Epoch 38/200, Loss: 0.031557557572211535, Acc: 0.38748764991760254, MSE: 0.06339608398931366, MAE: 0.18157175609043666
Epoch 39/200, Loss: 0.029392932408622334, Acc: 0.38073248096874784, MSE: 0.05903545767068863, MAE: 0.1783053023474557
Epoch 40/200, Loss: 0.027380931191146374, Acc: 0.40575296538216726, MSE: 0.054951290999140055, MAE: 0.1698915468794959
Epoch 41/200, Loss: 0.023195605458957807, Acc: 0.42745536140033175, MSE: 0.04650102050176689, MAE: 0.15771169747625077
Epoch 42/200, Loss: 0.02185566084725516, Acc: 0.4397035241127014, MSE: 0.043788847380450795, MAE: 0.15296250581741333
Epoch 43/200, Loss: 0.020663189302597727, Acc: 0.4297070801258087, MSE: 0.04138444550335407, MAE: 0.15033989931855882
Epoch 44/200, Loss: 0.01944330201617309, Acc: 0.4445940596716745, MSE: 0.03891077211924961, MAE: 0.14636280706950597
Epoch 45/200, Loss: 0.018245487606951168, Acc: 0.4579357121671949, MSE: 0.03651091695896217, MAE: 0.14234378188848495
Epoch 46/200, Loss: 0.018156605107443675, Acc: 0.46025068845067707, MSE: 0.036326177950416295, MAE: 0.1415728788290705
Epoch 47/200, Loss: 0.01892802624830178, Acc: 0.4491200957979475, MSE: 0.037877818037356646, MAE: 0.14589577061789377
Epoch 48/200, Loss: 0.018390557329569544, Acc: 0.46536564401217867, MSE: 0.03678524387734277, MAE: 0.14220768532582692
Epoch 49/200, Loss: 0.021148964230503355, Acc: 0.4631109024797167, MSE: 0.04231833932655198, MAE: 0.1482072557721819
Epoch 50/200, Loss: 0.02192302979528904, Acc: 0.45130705407687594, MSE: 0.04385428210454328, MAE: 0.15161003917455673
Epoch 51/200, Loss: 0.021000797461186136, Acc: 0.41796950357300894, MSE: 0.04201649235827582, MAE: 0.15547657438686915
Epoch 52/200, Loss: 0.01609677289213453, Acc: 0.475235572883061, MSE: 0.0321939829736948, MAE: 0.13565896770783833
Epoch 53/200, Loss: 0.014601039301071848, Acc: 0.4729401682104383, MSE: 0.029204434848257473, MAE: 0.1310026847890445
Epoch 54/200, Loss: 0.013793331437877246, Acc: 0.5095069408416748, MSE: 0.027587641030550003, MAE: 0.12489735122237887
Epoch 55/200, Loss: 0.012662465551069804, Acc: 0.5235579865319389, MSE: 0.02532655080514295, MAE: 0.11935785412788391
Epoch 56/200, Loss: 0.012474637611636094, Acc: 0.5391799807548523, MSE: 0.02494981193116733, MAE: 0.11795356018202645
Epoch 57/200, Loss: 0.01200005624975477, Acc: 0.5400942265987396, MSE: 0.02400022798350879, MAE: 0.11633710456745965
Epoch 58/200, Loss: 0.01169868984392711, Acc: 0.5422254587922778, MSE: 0.023398166256291524, MAE: 0.11510100747857775
Epoch 59/200, Loss: 0.011389774270355701, Acc: 0.5514899066516331, MSE: 0.022779572489006177, MAE: 0.1132386741893632
Epoch 60/200, Loss: 0.011210368280964238, Acc: 0.5514477321079799, MSE: 0.022420737094112804, MAE: 0.11253000370093755
Epoch 61/200, Loss: 0.010782573372125626, Acc: 0.5533470170838493, MSE: 0.02156553976237774, MAE: 0.11110925887312208
Epoch 62/200, Loss: 0.010370052419602871, Acc: 0.5665440474237714, MSE: 0.02074010550443615, MAE: 0.10851307532617024
Epoch 63/200, Loss: 0.010180352255702019, Acc: 0.5628027490207127, MSE: 0.020360704777496203, MAE: 0.10817498287984303
Epoch 64/200, Loss: 0.010569305624812841, Acc: 0.5678951016494206, MSE: 0.021138956770300865, MAE: 0.10886043097291674
Epoch 65/200, Loss: 0.010440988865281855, Acc: 0.5677490021501269, MSE: 0.020881982520222664, MAE: 0.10854910846267428
Epoch 66/200, Loss: 0.009985164340053285, Acc: 0.5727254024573735, MSE: 0.019970341718622615, MAE: 0.10691558250359126
Epoch 67/200, Loss: 0.009811215634856905, Acc: 0.5813286261899131, MSE: 0.019622599173869406, MAE: 0.10543311280863625
Epoch 68/200, Loss: 0.009952955480132784, Acc: 0.5638630858489445, MSE: 0.019905910694173405, MAE: 0.10772248676845006
Epoch 69/200, Loss: 0.009491560980677605, Acc: 0.5903626169477191, MSE: 0.018983139789530208, MAE: 0.10355542919465474
Epoch 70/200, Loss: 0.009659696436886276, Acc: 0.5741938948631287, MSE: 0.01931947243532964, MAE: 0.1054183766245842
Epoch 71/200, Loss: 0.008787406541939293, Acc: 0.6091535942895072, MSE: 0.017574813083878586, MAE: 0.09939807866300855
Epoch 72/200, Loss: 0.008659926043557269, Acc: 0.6110995582171849, MSE: 0.01731985155493021, MAE: 0.09877693227359227
Epoch 73/200, Loss: 0.008639861763055836, Acc: 0.6248569062777928, MSE: 0.01728015672415495, MAE: 0.09743181403194155
Epoch 74/200, Loss: 0.009051840020609754, Acc: 0.5869737608092171, MSE: 0.01810368017426559, MAE: 0.1023573534829276
Epoch 75/200, Loss: 0.008651666808873415, Acc: 0.5921911171504429, MSE: 0.017303433003170148, MAE: 0.1004514502627509
Epoch 76/200, Loss: 0.008570775256625243, Acc: 0.6048564910888672, MSE: 0.017141551045434817, MAE: 0.09920200811965126
Epoch 77/200, Loss: 0.00873087692473616, Acc: 0.5908566457884652, MSE: 0.017461753051195825, MAE: 0.10142980622393745
Epoch 78/200, Loss: 0.009679051847862346, Acc: 0.5737119231905256, MSE: 0.01935835462063551, MAE: 0.10592882548059736
Epoch 79/200, Loss: 0.009172352230442422, Acc: 0.5784397891589573, MSE: 0.018344991840422153, MAE: 0.10368194643940244
Epoch 80/200, Loss: 0.008896600854183947, Acc: 0.5945437550544739, MSE: 0.017793208227625916, MAE: 0.10115236043930054
Epoch 81/200, Loss: 0.008537540411842721, Acc: 0.6072422691753933, MSE: 0.017075213603675365, MAE: 0.09882594432149615
Epoch 82/200, Loss: 0.007830594134117876, Acc: 0.6288994635854449, MSE: 0.01566118880042008, MAE: 0.09428391924926213
Epoch 83/200, Loss: 0.0082276084327272, Acc: 0.6205477629389081, MSE: 0.016455217264592648, MAE: 0.09662789744990212
Epoch 84/200, Loss: 0.008530167397111654, Acc: 0.6055794443402972, MSE: 0.017060335060315474, MAE: 0.09917665592261724
Epoch 85/200, Loss: 0.008049322225685631, Acc: 0.6094578419412885, MSE: 0.016098644185279096, MAE: 0.0969446524977684
Epoch 86/200, Loss: 0.007675784107829843, Acc: 0.6336062550544739, MSE: 0.015351567949567522, MAE: 0.09342615625688008
Epoch 87/200, Loss: 0.00731755540307079, Acc: 0.628110238483974, MSE: 0.014635111072233744, MAE: 0.09273473173379898
Epoch 88/200, Loss: 0.008111339594636644, Acc: 0.6166377493313381, MSE: 0.016222678390996798, MAE: 0.09697626637560981
Epoch 89/200, Loss: 0.007547007407993078, Acc: 0.6453664217676435, MSE: 0.01509401494903224, MAE: 0.0920008538024766
Epoch 90/200, Loss: 0.007689270323940686, Acc: 0.623529987675803, MSE: 0.015378540647881371, MAE: 0.0945699332015855
Epoch 91/200, Loss: 0.007297351623752287, Acc: 0.6438301290784564, MSE: 0.014594702449228083, MAE: 0.09121053772313255
Epoch 92/200, Loss: 0.006973702726619584, Acc: 0.6508292981556484, MSE: 0.01394740558628525, MAE: 0.08956779965332576
Epoch 93/200, Loss: 0.006846552847751549, Acc: 0.6530885526112148, MSE: 0.013693105030272688, MAE: 0.08879971504211426
Epoch 94/200, Loss: 0.006787770560809544, Acc: 0.6556882006781442, MSE: 0.013575540988573007, MAE: 0.08834093064069748
Epoch 95/200, Loss: 0.007207545119204691, Acc: 0.6445591194289071, MSE: 0.014415090504501547, MAE: 0.09088853001594543
Epoch 96/200, Loss: 0.0063698117488196915, Acc: 0.6583315219197955, MSE: 0.012739624162869794, MAE: 0.08669485471078328
Epoch 97/200, Loss: 0.005927869451365301, Acc: 0.6945880396025521, MSE: 0.011855738636638437, MAE: 0.0816962229354041
Epoch 98/200, Loss: 0.006311146608952965, Acc: 0.680466183594295, MSE: 0.012622292818767684, MAE: 0.08448683044740132
Epoch 99/200, Loss: 0.006304060375051839, Acc: 0.6808306915419442, MSE: 0.012608121016195841, MAE: 0.08425351977348328
Epoch 100/200, Loss: 0.006135299070073026, Acc: 0.6760787112372262, MSE: 0.012270598007099969, MAE: 0.08438463828393392
Epoch 101/200, Loss: 0.006364284149770226, Acc: 0.6691638997622898, MSE: 0.01272856816649437, MAE: 0.08560165017843246
Epoch 102/200, Loss: 0.006126642692834139, Acc: 0.6724533694131034, MSE: 0.012253284587391786, MAE: 0.08450936526060104
Epoch 103/200, Loss: 0.006242282755140748, Acc: 0.6744430150304522, MSE: 0.012484565510281495, MAE: 0.08491652884653636
Epoch 104/200, Loss: 0.005845515257013696, Acc: 0.6908180883952549, MSE: 0.011691030514027392, MAE: 0.08185245096683502
Epoch 105/200, Loss: 0.006154175382107496, Acc: 0.671180648463113, MSE: 0.012308350897261075, MAE: 0.08483085994209562
Epoch 106/200, Loss: 0.00631352374330163, Acc: 0.6680252381733486, MSE: 0.012627047619649343, MAE: 0.08592998129980904
Epoch 107/200, Loss: 0.00713683817801731, Acc: 0.6369454349790301, MSE: 0.014273676622126783, MAE: 0.09172305464744568
Epoch 108/200, Loss: 0.007340134188000645, Acc: 0.6381985545158386, MSE: 0.01468026771077088, MAE: 0.09181790479591914
Epoch 109/200, Loss: 0.007081375923007727, Acc: 0.649246313742229, MSE: 0.01416275157992329, MAE: 0.09044872862952096
Epoch 110/200, Loss: 0.00669772078150085, Acc: 0.6562274098396301, MSE: 0.013395441030817372, MAE: 0.08801043352910451
Epoch 111/200, Loss: 0.007007902022451162, Acc: 0.6291585309164864, MSE: 0.014015804044902325, MAE: 0.09160167085272926
Epoch 112/200, Loss: 0.006391100785029786, Acc: 0.6702076707567487, MSE: 0.012782201303967409, MAE: 0.0857410090310233
Epoch 113/200, Loss: 0.006674045497285468, Acc: 0.6553523199898856, MSE: 0.013348091127617019, MAE: 0.0883418864437512
Epoch 114/200, Loss: 0.006663934793323278, Acc: 0.6420227374349322, MSE: 0.013327869320554393, MAE: 0.0892213327544076
Epoch 115/200, Loss: 0.0063651384386633125, Acc: 0.665282496384212, MSE: 0.012730376395796026, MAE: 0.08586443641356059
Epoch 116/200, Loss: 0.005596452658729894, Acc: 0.690007780279432, MSE: 0.011192905317459787, MAE: 0.0811314827629498
Epoch 117/200, Loss: 0.005209281441888639, Acc: 0.7131003652300153, MSE: 0.010418563149869442, MAE: 0.07778329082897731
Epoch 118/200, Loss: 0.005464235520256417, Acc: 0.6987104330744062, MSE: 0.010928470907466752, MAE: 0.08009880994047437
Epoch 119/200, Loss: 0.005378740573568004, Acc: 0.71852559702737, MSE: 0.010757481280182089, MAE: 0.07816822613988604
Epoch 120/200, Loss: 0.0054923601315489835, Acc: 0.6990252137184143, MSE: 0.01098472039614405, MAE: 0.08019954817635673
Epoch 121/200, Loss: 0.00553626666909882, Acc: 0.7010856526238578, MSE: 0.011072533737335886, MAE: 0.07994409969874791
Epoch 122/200, Loss: 0.004828930533091936, Acc: 0.722036463873727, MSE: 0.009657860866614751, MAE: 0.07549740267651421
Epoch 123/200, Loss: 0.005240710452198982, Acc: 0.7085592491286141, MSE: 0.010481420771351882, MAE: 0.07825060614517756
Epoch 124/200, Loss: 0.005156040125127349, Acc: 0.7143640433038984, MSE: 0.010312080782439028, MAE: 0.07755415780203682
Epoch 125/200, Loss: 0.004921130636440856, Acc: 0.7295100688934326, MSE: 0.009842261405927795, MAE: 0.0750682492341314
Epoch 126/200, Loss: 0.004691813340676683, Acc: 0.7356853655406407, MSE: 0.009383626614830323, MAE: 0.0735412346465247
Epoch 127/200, Loss: 0.005122858532039183, Acc: 0.7112522891589573, MSE: 0.010245717263647489, MAE: 0.07760690471955708
Epoch 128/200, Loss: 0.005141691570835454, Acc: 0.701398926121848, MSE: 0.010283383008624827, MAE: 0.07851142116955348
Epoch 129/200, Loss: 0.005396129763019937, Acc: 0.7015736358506339, MSE: 0.010792259659085954, MAE: 0.07967451427664075
Epoch 130/200, Loss: 0.005110438314399549, Acc: 0.7229341438838414, MSE: 0.010220876495753015, MAE: 0.07642773006643568
Epoch 131/200, Loss: 0.004733840203178781, Acc: 0.7371252604893276, MSE: 0.009467680872018849, MAE: 0.0737878925033978
Epoch 132/200, Loss: 0.004746050573885441, Acc: 0.7414163436208453, MSE: 0.009492101147770882, MAE: 0.07346785813570023
Epoch 133/200, Loss: 0.00481088160138045, Acc: 0.7282177891050067, MSE: 0.009621763335806983, MAE: 0.07534162593739373
Epoch 134/200, Loss: 0.004502109750839216, Acc: 0.7488101209912982, MSE: 0.009004219501678432, MAE: 0.07191226524966103
Epoch 135/200, Loss: 0.004951987382290619, Acc: 0.7309635196413312, MSE: 0.009903974698058196, MAE: 0.07534206019980567
Epoch 136/200, Loss: 0.004681497479655913, Acc: 0.7384431532451085, MSE: 0.009362994959311826, MAE: 0.07365375863654273
Epoch 137/200, Loss: 0.004612483949001346, Acc: 0.7502771275384086, MSE: 0.009224967299295323, MAE: 0.0719807158623423
Epoch 138/200, Loss: 0.004382882466805833, Acc: 0.7448082395962307, MSE: 0.008765764800565583, MAE: 0.07206616337810244
