Epoch 1/200, Loss: 0.47813378274440765, Acc: 0.0721364701166749, MSE: 1.1529169380664825, MAE: 0.8611489534378052
Epoch 2/200, Loss: 0.41779574006795883, Acc: 0.0762048214673996, MSE: 0.9669525772333145, MAE: 0.7936584055423737
Epoch 3/200, Loss: 0.34415024518966675, Acc: 0.08867213875055313, MSE: 0.7732941508293152, MAE: 0.7033435255289078
Epoch 4/200, Loss: 0.33801356330513954, Acc: 0.09068588539958, MSE: 0.7538363039493561, MAE: 0.6959726214408875
Epoch 5/200, Loss: 0.345229335129261, Acc: 0.08009789325296879, MSE: 0.7635477781295776, MAE: 0.7110610604286194
Epoch 6/200, Loss: 0.30906248092651367, Acc: 0.09430351667106152, MSE: 0.6848435401916504, MAE: 0.6610235273838043
Epoch 7/200, Loss: 0.2800217419862747, Acc: 0.10756025090813637, MSE: 0.6148511245846748, MAE: 0.6196338832378387
Epoch 8/200, Loss: 0.23109643161296844, Acc: 0.11527127586305141, MSE: 0.4939558282494545, MAE: 0.556009478867054
Epoch 9/200, Loss: 0.23977379128336906, Acc: 0.11747875437140465, MSE: 0.5216431170701981, MAE: 0.5624670088291168
Epoch 10/200, Loss: 0.2270604483783245, Acc: 0.1145055778324604, MSE: 0.48663515597581863, MAE: 0.5512451529502869
Epoch 11/200, Loss: 0.18204492330551147, Acc: 0.1285029761493206, MSE: 0.38231899589300156, MAE: 0.4864955395460129
Epoch 12/200, Loss: 0.16514169424772263, Acc: 0.13771244883537292, MSE: 0.3424159362912178, MAE: 0.46154145151376724
Epoch 13/200, Loss: 0.163324736058712, Acc: 0.13013057596981525, MSE: 0.3391171917319298, MAE: 0.4644293487071991
Epoch 14/200, Loss: 0.1350367907434702, Acc: 0.15240833163261414, MSE: 0.2761865109205246, MAE: 0.4161621779203415
Epoch 15/200, Loss: 0.12692918442189693, Acc: 0.1694948785007, MSE: 0.2599567249417305, MAE: 0.39729396253824234
Epoch 16/200, Loss: 0.11456162482500076, Acc: 0.16689466312527657, MSE: 0.23361190408468246, MAE: 0.38089173287153244
Epoch 17/200, Loss: 0.11627552285790443, Acc: 0.17173266410827637, MSE: 0.2364378124475479, MAE: 0.38154279440641403
Epoch 18/200, Loss: 0.11971338652074337, Acc: 0.16932222992181778, MSE: 0.2435532659292221, MAE: 0.38853323459625244
Epoch 19/200, Loss: 0.09744376130402088, Acc: 0.193661168217659, MSE: 0.19818822667002678, MAE: 0.3456834405660629
Epoch 20/200, Loss: 0.09002363588660955, Acc: 0.20032314956188202, MSE: 0.18200925178825855, MAE: 0.3339105173945427
Epoch 21/200, Loss: 0.09082171879708767, Acc: 0.19822899997234344, MSE: 0.1842837780714035, MAE: 0.3332393504679203
Epoch 22/200, Loss: 0.07769013848155737, Acc: 0.2112208493053913, MSE: 0.15674742311239243, MAE: 0.30701838433742523
Epoch 23/200, Loss: 0.0726545499637723, Acc: 0.21257301419973373, MSE: 0.14640381932258606, MAE: 0.3002029210329056
Epoch 24/200, Loss: 0.07018360774964094, Acc: 0.21356934309005737, MSE: 0.14093375019729137, MAE: 0.2964465245604515
Epoch 25/200, Loss: 0.0690106051042676, Acc: 0.20177151635289192, MSE: 0.1386841107159853, MAE: 0.29844198375940323
Epoch 26/200, Loss: 0.06773089803755283, Acc: 0.217495359480381, MSE: 0.13575223460793495, MAE: 0.29277806729078293
Epoch 27/200, Loss: 0.0737900473177433, Acc: 0.21196018531918526, MSE: 0.14804179593920708, MAE: 0.30222371965646744
Epoch 28/200, Loss: 0.06464401911944151, Acc: 0.22635427117347717, MSE: 0.1296401061117649, MAE: 0.2845456451177597
Epoch 29/200, Loss: 0.059188961051404476, Acc: 0.2451975792646408, MSE: 0.11860658414661884, MAE: 0.2696312554180622
Epoch 30/200, Loss: 0.04449389409273863, Acc: 0.26978692412376404, MSE: 0.08911344408988953, MAE: 0.23334931582212448
Epoch 31/200, Loss: 0.04100758163258433, Acc: 0.2907849960029125, MSE: 0.08209542278200388, MAE: 0.22234683483839035
Epoch 32/200, Loss: 0.03492662776261568, Acc: 0.3223288804292679, MSE: 0.06992011051625013, MAE: 0.2033904306590557
Epoch 33/200, Loss: 0.03158499859273434, Acc: 0.3393666669726372, MSE: 0.06318127829581499, MAE: 0.1939876675605774
Epoch 34/200, Loss: 0.04137246962636709, Acc: 0.3131365403532982, MSE: 0.08287114277482033, MAE: 0.21855135634541512
Epoch 35/200, Loss: 0.05507176648825407, Acc: 0.246499665081501, MSE: 0.11075607687234879, MAE: 0.25863226875662804
Epoch 36/200, Loss: 0.05179320555180311, Acc: 0.26416344568133354, MSE: 0.1037905253469944, MAE: 0.24964414536952972
Epoch 37/200, Loss: 0.04954665806144476, Acc: 0.2807491905987263, MSE: 0.09924964979290962, MAE: 0.24276167526841164
Epoch 38/200, Loss: 0.043672891799360514, Acc: 0.27030353993177414, MSE: 0.08738718088716269, MAE: 0.2316443808376789
Epoch 39/200, Loss: 0.03747376799583435, Acc: 0.3061780370771885, MSE: 0.07497289031744003, MAE: 0.21334414929151535
Epoch 40/200, Loss: 0.03275647945702076, Acc: 0.33756642043590546, MSE: 0.065526626072824, MAE: 0.197163388133049
Epoch 41/200, Loss: 0.026553922332823277, Acc: 0.38400256633758545, MSE: 0.05312042962759733, MAE: 0.1754339560866356
Epoch 42/200, Loss: 0.024980659130960703, Acc: 0.3836150988936424, MSE: 0.04996651969850063, MAE: 0.17089992761611938
Epoch 43/200, Loss: 0.02035128092393279, Acc: 0.41861187666654587, MSE: 0.040704112499952316, MAE: 0.15451885759830475
Epoch 44/200, Loss: 0.021003019995987415, Acc: 0.41729530692100525, MSE: 0.042008884251117706, MAE: 0.15540481358766556
Epoch 45/200, Loss: 0.020404557697474957, Acc: 0.4138766750693321, MSE: 0.04080965090543032, MAE: 0.1549886092543602
Epoch 46/200, Loss: 0.01779945008456707, Acc: 0.46646739542484283, MSE: 0.03560127876698971, MAE: 0.14122199267148972
Epoch 47/200, Loss: 0.01498155645094812, Acc: 0.4810868427157402, MSE: 0.029964561574161053, MAE: 0.13159511610865593
Epoch 48/200, Loss: 0.014844794990494847, Acc: 0.4833391308784485, MSE: 0.029689591843634844, MAE: 0.13109761849045753
Epoch 49/200, Loss: 0.01435626344755292, Acc: 0.48962682485580444, MSE: 0.02871310617774725, MAE: 0.1285937763750553
Epoch 50/200, Loss: 0.014370017452165484, Acc: 0.5057974383234978, MSE: 0.028740940615534782, MAE: 0.1262097042053938
Epoch 51/200, Loss: 0.013650642707943916, Acc: 0.5280527845025063, MSE: 0.0273049958050251, MAE: 0.12228347919881344
Epoch 52/200, Loss: 0.013383733108639717, Acc: 0.49154436588287354, MSE: 0.02676747925579548, MAE: 0.12600716203451157
Epoch 53/200, Loss: 0.0128268760163337, Acc: 0.5227179154753685, MSE: 0.0256537520326674, MAE: 0.12089955434203148
Epoch 54/200, Loss: 0.013514055637642741, Acc: 0.5165923237800598, MSE: 0.027028915006667376, MAE: 0.12318881042301655
Epoch 55/200, Loss: 0.013502330053597689, Acc: 0.5132976025342941, MSE: 0.027004658244550228, MAE: 0.12391157448291779
Epoch 56/200, Loss: 0.013333916664123535, Acc: 0.5119599252939224, MSE: 0.026668005622923374, MAE: 0.12310941703617573
Epoch 57/200, Loss: 0.012754590483382344, Acc: 0.5210086107254028, MSE: 0.02550968574360013, MAE: 0.12059222534298897
Epoch 58/200, Loss: 0.012102151988074183, Acc: 0.5349493324756622, MSE: 0.024204305838793516, MAE: 0.1170174740254879
Epoch 59/200, Loss: 0.011447166558355093, Acc: 0.550525575876236, MSE: 0.0228953598998487, MAE: 0.11337853223085403
Epoch 60/200, Loss: 0.011664994060993195, Acc: 0.5335154682397842, MSE: 0.023330077528953552, MAE: 0.11540615372359753
Epoch 61/200, Loss: 0.011561330175027251, Acc: 0.5413477420806885, MSE: 0.02312266081571579, MAE: 0.11505774594843388
Epoch 62/200, Loss: 0.011749692494049668, Acc: 0.5339490622282028, MSE: 0.023499388713389635, MAE: 0.1162973903119564
Epoch 63/200, Loss: 0.011382783763110638, Acc: 0.5400812178850174, MSE: 0.022765714675188065, MAE: 0.11449582315981388
Epoch 64/200, Loss: 0.011880624573677778, Acc: 0.5299281552433968, MSE: 0.023761259857565165, MAE: 0.11687241122126579
Epoch 65/200, Loss: 0.011781849898397923, Acc: 0.5412581115961075, MSE: 0.023563918191939592, MAE: 0.11589436046779156
Epoch 66/200, Loss: 0.010987653862684965, Acc: 0.5587940663099289, MSE: 0.021975307259708643, MAE: 0.11121015250682831
Epoch 67/200, Loss: 0.012082932982593775, Acc: 0.5330607742071152, MSE: 0.02416610484942794, MAE: 0.11757958866655827
Epoch 68/200, Loss: 0.011230433592572808, Acc: 0.5528503432869911, MSE: 0.022460867185145617, MAE: 0.11300705187022686
Epoch 69/200, Loss: 0.0111249890178442, Acc: 0.5536160618066788, MSE: 0.02225015452131629, MAE: 0.11233010143041611
Epoch 70/200, Loss: 0.011148467194288969, Acc: 0.5546822249889374, MSE: 0.022297724150121212, MAE: 0.11253393441438675
Epoch 71/200, Loss: 0.010195187991485, Acc: 0.5717450380325317, MSE: 0.02039066143333912, MAE: 0.107316505163908
Epoch 72/200, Loss: 0.010227756341919303, Acc: 0.5707856267690659, MSE: 0.02045551687479019, MAE: 0.10792212933301926
Epoch 73/200, Loss: 0.010833303676918149, Acc: 0.5751004219055176, MSE: 0.02166660875082016, MAE: 0.10929971002042294
Epoch 74/200, Loss: 0.010239348514005542, Acc: 0.5796695798635483, MSE: 0.020478697028011084, MAE: 0.10655630938708782
Epoch 75/200, Loss: 0.010818751063197851, Acc: 0.5642910152673721, MSE: 0.02163750259205699, MAE: 0.10988055355846882
Epoch 76/200, Loss: 0.01082593877799809, Acc: 0.5658039599657059, MSE: 0.021652124356478453, MAE: 0.11044610477983952
Epoch 77/200, Loss: 0.011493205791339278, Acc: 0.5319814234972, MSE: 0.022986411582678556, MAE: 0.11580413579940796
Epoch 78/200, Loss: 0.012481458717957139, Acc: 0.5189250037074089, MSE: 0.02496291697025299, MAE: 0.1205767672508955
Epoch 79/200, Loss: 0.011933378875255585, Acc: 0.531496450304985, MSE: 0.023866756819188595, MAE: 0.11688852310180664
Epoch 80/200, Loss: 0.010841769399121404, Acc: 0.5391745269298553, MSE: 0.021683539263904095, MAE: 0.1129599791020155
Epoch 81/200, Loss: 0.010645392816513777, Acc: 0.5607405975461006, MSE: 0.021290804725140333, MAE: 0.1097051091492176
Epoch 82/200, Loss: 0.012501538963988423, Acc: 0.5092779844999313, MSE: 0.025003192014992237, MAE: 0.12083591148257256
Epoch 83/200, Loss: 0.012549525126814842, Acc: 0.5082909092307091, MSE: 0.025099049787968397, MAE: 0.12140501104295254
Epoch 84/200, Loss: 0.012111310614272952, Acc: 0.5443261787295341, MSE: 0.02422289177775383, MAE: 0.11551745422184467
Epoch 85/200, Loss: 0.010545434663072228, Acc: 0.5656247287988663, MSE: 0.021090869791805744, MAE: 0.1093289665877819
Epoch 86/200, Loss: 0.011257058242335916, Acc: 0.5401589870452881, MSE: 0.02251413930207491, MAE: 0.11431274935603142
Epoch 87/200, Loss: 0.010349362855777144, Acc: 0.5868191570043564, MSE: 0.020698743406683207, MAE: 0.10630887374281883
Epoch 88/200, Loss: 0.010027576005086303, Acc: 0.5709279626607895, MSE: 0.020055151544511318, MAE: 0.10684599541127682
Epoch 89/200, Loss: 0.008890701457858086, Acc: 0.6013990938663483, MSE: 0.017781728645786643, MAE: 0.10055881179869175
Epoch 90/200, Loss: 0.008901542634703219, Acc: 0.6045251339673996, MSE: 0.017803086433559656, MAE: 0.10042854957282543
Epoch 91/200, Loss: 0.009627136518247426, Acc: 0.6205138564109802, MSE: 0.019263044465333223, MAE: 0.09919741377234459
Epoch 92/200, Loss: 0.009468141826801002, Acc: 0.605770543217659, MSE: 0.018936281790956855, MAE: 0.10132257640361786
Epoch 93/200, Loss: 0.00956067000515759, Acc: 0.5723749995231628, MSE: 0.01912134001031518, MAE: 0.10596064478158951
Epoch 94/200, Loss: 0.009240553947165608, Acc: 0.5867888480424881, MSE: 0.018481269013136625, MAE: 0.10243965871632099
Epoch 95/200, Loss: 0.009024639497511089, Acc: 0.5957057625055313, MSE: 0.018049278296530247, MAE: 0.10137255676090717
Epoch 96/200, Loss: 0.009024998405948281, Acc: 0.5902298837900162, MSE: 0.01805000565946102, MAE: 0.10208959318697453
Epoch 97/200, Loss: 0.008673177100718021, Acc: 0.611640453338623, MSE: 0.0173478068318218, MAE: 0.09856644831597805
Epoch 98/200, Loss: 0.008684235042892396, Acc: 0.6127817630767822, MSE: 0.017368488013744354, MAE: 0.09852932766079903
Epoch 99/200, Loss: 0.008678963873535395, Acc: 0.6162728667259216, MSE: 0.017357928678393364, MAE: 0.09838736988604069
Epoch 100/200, Loss: 0.008881411282345653, Acc: 0.6014162302017212, MSE: 0.01776345120742917, MAE: 0.10035860911011696
Epoch 101/200, Loss: 0.00895526958629489, Acc: 0.6031004786491394, MSE: 0.017910539638251066, MAE: 0.10062673687934875
