Epoch 1/100: Loss = 0.0130, MSE = 0.0130, MAE = 0.0608                                                                                                                    
Epoch 2/100: Loss = 0.0019, MSE = 0.0019, MAE = 0.0335                                                                                                                    
Epoch 3/100: Loss = 0.0017, MSE = 0.0017, MAE = 0.0311                                                                                                                    
Epoch 4/100: Loss = 0.0015, MSE = 0.0015, MAE = 0.0296                                                                                                                    
Epoch 5/100: Loss = 0.0015, MSE = 0.0015, MAE = 0.0295                                                                                                                    
Epoch 6/100: Loss = 0.0013, MSE = 0.0013, MAE = 0.0273                                                                                                                    
Epoch 7/100: Loss = 0.0013, MSE = 0.0013, MAE = 0.0267                                                                                                                    
Epoch 8/100: Loss = 0.0012, MSE = 0.0012, MAE = 0.0255                                                                                                                    
Epoch 9/100: Loss = 0.0011, MSE = 0.0011, MAE = 0.0250                                                                                                                    
Epoch 10/100: Loss = 0.0011, MSE = 0.0011, MAE = 0.0243                                                                                                                   
Epoch 11/100: Loss = 0.0011, MSE = 0.0011, MAE = 0.0245                                                                                                                   
Epoch 12/100: Loss = 0.0010, MSE = 0.0010, MAE = 0.0231                                                                                                                   
Epoch 13/100: Loss = 0.0010, MSE = 0.0010, MAE = 0.0228                                                                                                                   
Epoch 14/100: Loss = 0.0010, MSE = 0.0010, MAE = 0.0230                                                                                                                   
Epoch 15/100: Loss = 0.0009, MSE = 0.0009, MAE = 0.0220                                                                                                                   
Epoch 16/100: Loss = 0.0009, MSE = 0.0009, MAE = 0.0215                                                                                                                   
Epoch 17/100: Loss = 0.0009, MSE = 0.0009, MAE = 0.0214                                                                                                                   
Epoch 18/100: Loss = 0.0008, MSE = 0.0008, MAE = 0.0210                                                                                                                   
Epoch 19/100: Loss = 0.0008, MSE = 0.0008, MAE = 0.0207                                                                                                                   
Epoch 20/100: Loss = 0.0008, MSE = 0.0008, MAE = 0.0202                                                                                                                   
Epoch 21/100: Loss = 0.0007, MSE = 0.0007, MAE = 0.0198                                                                                                                   
Epoch 22/100: Loss = 0.0008, MSE = 0.0008, MAE = 0.0200                                                                                                                   
Epoch 23/100: Loss = 0.0007, MSE = 0.0007, MAE = 0.0198                                                                                                                   
Epoch 24/100: Loss = 0.0007, MSE = 0.0007, MAE = 0.0192                                                                                                                   
Epoch 25/100: Loss = 0.0007, MSE = 0.0007, MAE = 0.0193                                                                                                                   
Epoch 26/100: Loss = 0.0007, MSE = 0.0007, MAE = 0.0189                                                                                                                   
Epoch 27/100: Loss = 0.0007, MSE = 0.0007, MAE = 0.0190                                                                                                                   
Epoch 28/100: Loss = 0.0007, MSE = 0.0007, MAE = 0.0187                                                                                                                   
Epoch 29/100: Loss = 0.0006, MSE = 0.0006, MAE = 0.0182                                                                                                                   
Epoch 30/100: Loss = 0.0007, MSE = 0.0007, MAE = 0.0184                                                                                                                   
Epoch 31/100: Loss = 0.0006, MSE = 0.0006, MAE = 0.0180                                                                                                                   
Epoch 32/100: Loss = 0.0006, MSE = 0.0006, MAE = 0.0179                                                                                                                   
Epoch 33/100: Loss = 0.0006, MSE = 0.0006, MAE = 0.0176                                                                                                                   
Epoch 34/100: Loss = 0.0006, MSE = 0.0006, MAE = 0.0176                                                                                                                   
Epoch 35/100: Loss = 0.0006, MSE = 0.0006, MAE = 0.0174                                                                                                                   
Epoch 36/100: Loss = 0.0006, MSE = 0.0006, MAE = 0.0175                                                                                                                   
Epoch 37/100: Loss = 0.0006, MSE = 0.0006, MAE = 0.0171                                                                                                                   
Epoch 38/100: Loss = 0.0006, MSE = 0.0006, MAE = 0.0170                                                                                                                   
Epoch 39/100: Loss = 0.0006, MSE = 0.0006, MAE = 0.0170                                                                                                                   
Epoch 40/100: Loss = 0.0006, MSE = 0.0006, MAE = 0.0169                                                                                                                   
Epoch 41/100: Loss = 0.0005, MSE = 0.0005, MAE = 0.0165                                                                                                                   
Epoch 42/100: Loss = 0.0005, MSE = 0.0005, MAE = 0.0163                                                                                                                   
Epoch 43/100: Loss = 0.0005, MSE = 0.0005, MAE = 0.0163                                                                                                                   
Epoch 44/100: Loss = 0.0005, MSE = 0.0005, MAE = 0.0165                                                                                                                   
Epoch 45/100: Loss = 0.0005, MSE = 0.0005, MAE = 0.0166                                                                                                                   
Epoch 46/100: Loss = 0.0005, MSE = 0.0005, MAE = 0.0161                                                                                                                   
Epoch 47/100: Loss = 0.0005, MSE = 0.0005, MAE = 0.0160                                                                                                                   
Epoch 48/100: Loss = 0.0005, MSE = 0.0005, MAE = 0.0161                                                                                                                   
Epoch 49/100: Loss = 0.0005, MSE = 0.0005, MAE = 0.0163                                                                                                                   
Epoch 50/100: Loss = 0.0005, MSE = 0.0005, MAE = 0.0159                                                                                                                   
Epoch 51/100: Loss = 0.0005, MSE = 0.0005, MAE = 0.0157                                                                                                                   
Epoch 52/100: Loss = 0.0005, MSE = 0.0005, MAE = 0.0155                                                                                                                   
Epoch 53/100: Loss = 0.0005, MSE = 0.0005, MAE = 0.0156                                                                                                                   
Epoch 54/100: Loss = 0.0005, MSE = 0.0005, MAE = 0.0155            
