Epoch 1/100: Loss = 0.0169, MSE = 0.0169, MAE = 0.0575                                                                                                                    
Epoch 2/100: Loss = 0.0007, MSE = 0.0007, MAE = 0.0199                                                                                                                    
Epoch 3/100: Loss = 0.0006, MSE = 0.0006, MAE = 0.0172                                                                                                                    
Epoch 4/100: Loss = 0.0005, MSE = 0.0005, MAE = 0.0164                                                                                                                    
Epoch 5/100: Loss = 0.0005, MSE = 0.0005, MAE = 0.0165                                                                                                                    
Epoch 6/100: Loss = 0.0005, MSE = 0.0005, MAE = 0.0154                                                                                                                    
Epoch 7/100: Loss = 0.0005, MSE = 0.0005, MAE = 0.0152                                                                                                                    
Epoch 8/100: Loss = 0.0005, MSE = 0.0005, MAE = 0.0151                                                                                                                    
Epoch 9/100: Loss = 0.0004, MSE = 0.0004, MAE = 0.0148                                                                                                                    
Epoch 10/100: Loss = 0.0004, MSE = 0.0004, MAE = 0.0145                                                                                                                   
Epoch 11/100: Loss = 0.0004, MSE = 0.0004, MAE = 0.0141                                                                                                                   
Epoch 12/100: Loss = 0.0004, MSE = 0.0004, MAE = 0.0132                                                                                                                   
Epoch 13/100: Loss = 0.0004, MSE = 0.0004, MAE = 0.0136                                                                                                                   
Epoch 14/100: Loss = 0.0004, MSE = 0.0004, MAE = 0.0131                                                                                                                   
Epoch 15/100: Loss = 0.0003, MSE = 0.0003, MAE = 0.0127                                                                                                                   
Epoch 16/100: Loss = 0.0003, MSE = 0.0003, MAE = 0.0117                                                                                                                   
Epoch 17/100: Loss = 0.0003, MSE = 0.0003, MAE = 0.0117                                                                                                                   
Epoch 18/100: Loss = 0.0003, MSE = 0.0003, MAE = 0.0116                                                                                                                   
Epoch 19/100: Loss = 0.0003, MSE = 0.0003, MAE = 0.0118                                                                                                                   
Epoch 20/100: Loss = 0.0003, MSE = 0.0003, MAE = 0.0113                                                                                                                   
Epoch 21/100: Loss = 0.0003, MSE = 0.0003, MAE = 0.0117                                                                                                                   
Epoch 22/100: Loss = 0.0003, MSE = 0.0003, MAE = 0.0113                                                                                                                   
Epoch 23/100: Loss = 0.0003, MSE = 0.0003, MAE = 0.0112                                                                                                                   
Epoch 24/100: Loss = 0.0003, MSE = 0.0003, MAE = 0.0109                                                                                                                   
Epoch 25/100: Loss = 0.0003, MSE = 0.0003, MAE = 0.0109                                                                                                                   
Epoch 26/100: Loss = 0.0003, MSE = 0.0003, MAE = 0.0108                                                                                                                   
Epoch 27/100: Loss = 0.0003, MSE = 0.0003, MAE = 0.0105                                                                                                                   
Epoch 28/100: Loss = 0.0003, MSE = 0.0003, MAE = 0.0107                                                                                                                   
Epoch 29/100: Loss = 0.0003, MSE = 0.0003, MAE = 0.0104                                                                                                                   
Epoch 30/100: Loss = 0.0002, MSE = 0.0002, MAE = 0.0101                                                                                                                   
Epoch 31/100: Loss = 0.0002, MSE = 0.0002, MAE = 0.0100                                                                                                                   
Epoch 32/100: Loss = 0.0002, MSE = 0.0002, MAE = 0.0100                                                                                                                   
Epoch 33/100: Loss = 0.0002, MSE = 0.0002, MAE = 0.0098                                                                                                                   
Epoch 34/100: Loss = 0.0002, MSE = 0.0002, MAE = 0.0098                                                                                                                   
Epoch 35/100: Loss = 0.0002, MSE = 0.0002, MAE = 0.0099                                                                                                                   
Epoch 36/100: Loss = 0.0002, MSE = 0.0002, MAE = 0.0100                                                                                                                   
Epoch 37/100: Loss = 0.0002, MSE = 0.0002, MAE = 0.0099                                                                                                                   
Epoch 38/100: Loss = 0.0003, MSE = 0.0003, MAE = 0.0104                                                                                                                   
Epoch 39/100: Loss = 0.0003, MSE = 0.0003, MAE = 0.0102                                                                                                                   
Epoch 40/100: Loss = 0.0002, MSE = 0.0002, MAE = 0.0099                                                                                                                   
Epoch 41/100: Loss = 0.0002, MSE = 0.0002, MAE = 0.0100                                                                                                                   
Epoch 42/100: Loss = 0.0002, MSE = 0.0002, MAE = 0.0099                                                                                                                   
Epoch 43/100: Loss = 0.0002, MSE = 0.0002, MAE = 0.0097                                                                                                                   
Epoch 44/100: Loss = 0.0002, MSE = 0.0002, MAE = 0.0095                                                                                                                   
Epoch 45/100: Loss = 0.0002, MSE = 0.0002, MAE = 0.0093                                                                                                                   
Epoch 46/100: Loss = 0.0002, MSE = 0.0002, MAE = 0.0101                                                                                                                   
Epoch 47/100: Loss = 0.0002, MSE = 0.0002, MAE = 0.0096                                                                                                                   
Epoch 48/100: Loss = 0.0002, MSE = 0.0002, MAE = 0.0095                                                                                                                   
Epoch 49/100: Loss = 0.0002, MSE = 0.0002, MAE = 0.0096                                                                                                                   
Epoch 50/100: Loss = 0.0002, MSE = 0.0002, MAE = 0.0099  
