Epoch 1/100: Loss = 0.0053, MSE = 0.0053, MAE = 0.0229                                                                                                                    
Epoch 2/100: Loss = 0.0012, MSE = 0.0012, MAE = 0.0120                                                                                                                    
Epoch 3/100: Loss = 0.0011, MSE = 0.0011, MAE = 0.0110                                                                                                                    
Epoch 4/100: Loss = 0.0011, MSE = 0.0011, MAE = 0.0100                                                                                                                    
Epoch 5/100: Loss = 0.0010, MSE = 0.0010, MAE = 0.0082                                                                                                                    
Epoch 6/100: Loss = 0.0010, MSE = 0.0010, MAE = 0.0074                                                                                                                    
Epoch 7/100: Loss = 0.0010, MSE = 0.0010, MAE = 0.0067                                                                                                                    
Epoch 8/100: Loss = 0.0010, MSE = 0.0010, MAE = 0.0060                                                                                                                    
Epoch 9/100: Loss = 0.0010, MSE = 0.0010, MAE = 0.0058                                                                                                                    
Epoch 10/100: Loss = 0.0010, MSE = 0.0010, MAE = 0.0058                                                                                                                   
Epoch 11/100: Loss = 0.0010, MSE = 0.0010, MAE = 0.0055                                                                                                                   
Epoch 12/100: Loss = 0.0010, MSE = 0.0010, MAE = 0.0054                                                                                                                   
Epoch 13/100: Loss = 0.0010, MSE = 0.0010, MAE = 0.0052                                                                                                                   
Epoch 14/100: Loss = 0.0010, MSE = 0.0010, MAE = 0.0052                                                                                                                   
Epoch 15/100: Loss = 0.0010, MSE = 0.0010, MAE = 0.0056                                                                                                                   
Epoch 16/100: Loss = 0.0010, MSE = 0.0010, MAE = 0.0052                                                                                                                   
Epoch 17/100: Loss = 0.0010, MSE = 0.0010, MAE = 0.0052                                                                                                                   
Epoch 18/100: Loss = 0.0010, MSE = 0.0010, MAE = 0.0054                                                                                                                   
Epoch 19/100: Loss = 0.0010, MSE = 0.0010, MAE = 0.0053                                                                                                                   
Epoch 20/100: Loss = 0.0010, MSE = 0.0010, MAE = 0.0053                                                                                                                   
Epoch 21/100: Loss = 0.0010, MSE = 0.0010, MAE = 0.0051                                                                                                                   
Epoch 22/100: Loss = 0.0010, MSE = 0.0010, MAE = 0.0051                                                                                                                   
Epoch 23/100: Loss = 0.0010, MSE = 0.0010, MAE = 0.0050                                                                                                                   
Epoch 24/100: Loss = 0.0010, MSE = 0.0010, MAE = 0.0052                                                                                                                   
Epoch 25/100: Loss = 0.0010, MSE = 0.0010, MAE = 0.0052                                                                                                                   
Epoch 26/100: Loss = 0.0010, MSE = 0.0010, MAE = 0.0054                                                                                                                   
Epoch 27/100: Loss = 0.0010, MSE = 0.0010, MAE = 0.0050                                                                                                                   
Epoch 28/100: Loss = 0.0010, MSE = 0.0010, MAE = 0.0053                                                                                                                   
Epoch 29/100: Loss = 0.0010, MSE = 0.0010, MAE = 0.0052                                                                                                                   
Epoch 30/100: Loss = 0.0010, MSE = 0.0010, MAE = 0.0050                                                                                                                   
Epoch 31/100: Loss = 0.0010, MSE = 0.0010, MAE = 0.0054                                                                                                                   
Epoch 32/100: Loss = 0.0010, MSE = 0.0010, MAE = 0.0050                                                                                                                   
Epoch 33/100: Loss = 0.0010, MSE = 0.0010, MAE = 0.0047                                                                                                                   
Epoch 34/100: Loss = 0.0010, MSE = 0.0010, MAE = 0.0051                                                                                                                   
Epoch 35/100: Loss = 0.0010, MSE = 0.0010, MAE = 0.0051                                                                                                                   
Epoch 36/100: Loss = 0.0010, MSE = 0.0010, MAE = 0.0051                                                                                                                   
Epoch 37/100: Loss = 0.0010, MSE = 0.0010, MAE = 0.0051                                                                                                                   
Epoch 38/100: Loss = 0.0010, MSE = 0.0010, MAE = 0.0047                                                                                                                   
Epoch 39/100: Loss = 0.0010, MSE = 0.0010, MAE = 0.0050                                                                                                                   
Epoch 40/100: Loss = 0.0010, MSE = 0.0010, MAE = 0.0049                                                                                                                   
Epoch 41/100: Loss = 0.0010, MSE = 0.0010, MAE = 0.0048                                                                                                                   
Epoch 42/100: Loss = 0.0010, MSE = 0.0010, MAE = 0.0045                                                                                                                   
Epoch 43/100: Loss = 0.0010, MSE = 0.0010, MAE = 0.0051                                                                                                                   
Epoch 44/100: Loss = 0.0010, MSE = 0.0010, MAE = 0.0050                                                                                                                   
Epoch 45/100: Loss = 0.0010, MSE = 0.0010, MAE = 0.0046                                                                                                                   
Epoch 46/100: Loss = 0.0010, MSE = 0.0010, MAE = 0.0045                                                                                                                   
Epoch 47/100: Loss = 0.0010, MSE = 0.0010, MAE = 0.0049                                                                                                                   
Epoch 48/100: Loss = 0.0010, MSE = 0.0010, MAE = 0.0049                                                                                                                   
Epoch 49/100: Loss = 0.0010, MSE = 0.0010, MAE = 0.0047                                                                                                                   
Epoch 50/100: Loss = 0.0010, MSE = 0.0010, MAE = 0.0047     
