Epoch 1/50: Loss = 0.0043, MSE = 0.0043, MAE = 0.0207                                                                                                                     
Epoch 2/50: Loss = 0.0011, MSE = 0.0011, MAE = 0.0119                                                                                                                     
Epoch 3/50: Loss = 0.0011, MSE = 0.0011, MAE = 0.0097                                                                                                                     
Epoch 4/50: Loss = 0.0011, MSE = 0.0011, MAE = 0.0092                                                                                                                     
Epoch 5/50: Loss = 0.0010, MSE = 0.0010, MAE = 0.0080                                                                                                                     
Epoch 6/50: Loss = 0.0010, MSE = 0.0010, MAE = 0.0067                                                                                                                     
Epoch 7/50: Loss = 0.0010, MSE = 0.0010, MAE = 0.0060                                                                                                                     
Epoch 8/50: Loss = 0.0010, MSE = 0.0010, MAE = 0.0062                                                                                                                     
Epoch 9/50: Loss = 0.0010, MSE = 0.0010, MAE = 0.0062                                                                                                                     
Epoch 10/50: Loss = 0.0010, MSE = 0.0010, MAE = 0.0060                                                                                                                    
Epoch 11/50: Loss = 0.0010, MSE = 0.0010, MAE = 0.0058                                                                                                                    
Epoch 12/50: Loss = 0.0010, MSE = 0.0010, MAE = 0.0058                                                                                                                    
Epoch 13/50: Loss = 0.0010, MSE = 0.0010, MAE = 0.0060                                                                                                                    
Epoch 14/50: Loss = 0.0010, MSE = 0.0010, MAE = 0.0053                                                                                                                    
Epoch 15/50: Loss = 0.0010, MSE = 0.0010, MAE = 0.0055                                                                                                                    
Epoch 16/50: Loss = 0.0010, MSE = 0.0010, MAE = 0.0057                                                                                                                    
Epoch 17/50: Loss = 0.0010, MSE = 0.0010, MAE = 0.0058                                                                                                                    
Epoch 18/50: Loss = 0.0010, MSE = 0.0010, MAE = 0.0053                                                                                                                    
Epoch 19/50: Loss = 0.0010, MSE = 0.0010, MAE = 0.0054                                                                                                                    
Epoch 20/50: Loss = 0.0009, MSE = 0.0009, MAE = 0.0052                                                                                                                    
Epoch 21/50: Loss = 0.0010, MSE = 0.0010, MAE = 0.0056                                                                                                                    
Epoch 22/50: Loss = 0.0010, MSE = 0.0010, MAE = 0.0052                                                                                                                    
Epoch 23/50: Loss = 0.0010, MSE = 0.0010, MAE = 0.0051                                                                                                                    
Epoch 24/50: Loss = 0.0010, MSE = 0.0010, MAE = 0.0052                                                                                                                    
Epoch 25/50: Loss = 0.0010, MSE = 0.0010, MAE = 0.0051                                                                                                                    
Epoch 26/50: Loss = 0.0010, MSE = 0.0010, MAE = 0.0053                                                                                                                    
Epoch 27/50: Loss = 0.0010, MSE = 0.0010, MAE = 0.0051                                                                                                                    
Epoch 28/50: Loss = 0.0010, MSE = 0.0010, MAE = 0.0051                                                                                                                    
Epoch 29/50: Loss = 0.0010, MSE = 0.0010, MAE = 0.0047                                                                                                                    
Epoch 30/50: Loss = 0.0010, MSE = 0.0010, MAE = 0.0051                                                                                                                    
Epoch 31/50: Loss = 0.0010, MSE = 0.0010, MAE = 0.0051                                                                                                                    
Epoch 32/50: Loss = 0.0010, MSE = 0.0010, MAE = 0.0050                                                                                                                    
Epoch 33/50: Loss = 0.0009, MSE = 0.0009, MAE = 0.0049                                                                                                                    
Epoch 34/50: Loss = 0.0010, MSE = 0.0010, MAE = 0.0048                                                                                                                    
Epoch 35/50: Loss = 0.0010, MSE = 0.0010, MAE = 0.0051                                                                                                                    
Epoch 36/50: Loss = 0.0009, MSE = 0.0009, MAE = 0.0048                                                                                                                    
Epoch 37/50: Loss = 0.0010, MSE = 0.0010, MAE = 0.0047                                                                                                                    
Epoch 38/50: Loss = 0.0010, MSE = 0.0010, MAE = 0.0047                                                                                                                    
Epoch 39/50: Loss = 0.0010, MSE = 0.0010, MAE = 0.0047                                                                                                                    
Epoch 40/50: Loss = 0.0010, MSE = 0.0010, MAE = 0.0045                                                                                                                    
Epoch 41/50: Loss = 0.0010, MSE = 0.0010, MAE = 0.0048                                                                                                                    
Epoch 42/50: Loss = 0.0010, MSE = 0.0010, MAE = 0.0048                                                                                                                    
Epoch 43/50: Loss = 0.0009, MSE = 0.0009, MAE = 0.0047                                                                                                                    
Epoch 44/50: Loss = 0.0010, MSE = 0.0010, MAE = 0.0047                                                                                                                    
Epoch 45/50: Loss = 0.0009, MSE = 0.0009, MAE = 0.0048                                                                                                                    
Epoch 46/50: Loss = 0.0010, MSE = 0.0010, MAE = 0.0049                                                                                                                    
Epoch 47/50: Loss = 0.0009, MSE = 0.0009, MAE = 0.0045                                                                                                                    
Epoch 48/50: Loss = 0.0010, MSE = 0.0010, MAE = 0.0048                                                                                                                    
Epoch 49/50: Loss = 0.0010, MSE = 0.0010, MAE = 0.0046                                                                                                                    
Epoch 50/50: Loss = 0.0010, MSE = 0.0010, MAE = 0.0047  
